|url|number_of_rooms|region|price_dollar|what_floor|max_of_floors|type|state|house_type|ceiling_height|area|kitchen_area|year|heating|furniture|docs|exchange_possible|installment_plan|mortgage_possible|from_whom|lat|lon|added|upped|view|like
4105|https://www.house.kg/details/782008966e81c2504cf00-97509308|2-комн. кв., 47 м2|Бишкек|67000.0|5|5|104 серия|евроремонт|кирпичный|25 м.|47 м2||1978 г.|центральное|пустая|договор купли-продажи, технический паспорт||||от агента|42.8797|74.6191|Добавлено 4 дня назад|Поднято 4 часа назад|139.0|
4106|https://www.house.kg/details/972822266e59e544d29e3-60824446|3-комн. кв., 60 м2|Бишкек|78000.0|3|4|104 серия|среднее|кирпичный|25 м.|60 м2||1966 г.|центральное|частично меблирована|||||от агента|42.8598|74.6127|Добавлено 6 дней назад|Поднято 4 часа назад|135.0|
4107|https://www.house.kg/details/804012866e071b84422d1-69132924|1-комн. кв., 52 м2|Бишкек|81000.0|14|15|элитка|евроремонт|монолитный|3 м.|52 м2||2022 г.|центральное|полностью меблирована|договор долевого участия||||от агента|42.8594|74.6134|Добавлено 10 дней назад|Поднято 4 часа назад|267.0|1.0
4108|https://www.house.kg/details/95694766c4d995840059-12945461|2-комн. кв., 95 м2|Бишкек|128250.0|9|12|элитка|под самоотделку (псо)|монолитный|3 м.|95 м2||2021 г.|||договор купли-продажи||||от агента|42.817|74.6234|Добавлено 1 месяц назад|Поднято 4 часа назад|419.0|
4109|https://www.house.kg/details/1951391668eac10d57b95-19046957|3-комн. кв., 100 м2|Бишкек|225000.0|12|13|элитка|евроремонт|монолитный|3 м.|100 м2||2017 г.|центральное|частично меблирована|||||от агента|42.8687|74.6029|Добавлено 2 месяца назад|Поднято 4 часа назад|1045.0|2.0
4110|https://www.house.kg/details/2559940667538d1c2e371-81079376|2-комн. кв., 70 м2|Бишкек|85000.0|12|15|элитка|под самоотделку (псо)|монолитный|3 м.|70 м2||2022 г.|центральное||договор долевого участия||есть||от агента|42.8593|74.6134|Добавлено 3 месяца назад|Поднято 4 часа назад|1053.0|1.0
4111|https://www.house.kg/details/40473536673096913b4b7-41574859|3-комн. кв., 152 м2|Бишкек|270000.0|5|6|элитка|евроремонт|кирпичный|3 м.|152 м2||2009 г.|центральное|полностью меблирована|договор купли-продажи, технический паспорт||||от агента|42.8651|74.6077|Добавлено 3 месяца назад|Поднято 4 часа назад|1006.0|
4112|https://www.house.kg/details/410885566c4d6b9dd4860-78605016|2-комн. кв., 70 м2|Бишкек|85000.0|12|15|элитка|под самоотделку (псо)|монолитный|3 м.|70 м2||2022 г.|центральное||договор купли-продажи||||от агента|42.8592|74.6134|Добавлено 1 месяц назад|Поднято 4 часа назад|550.0|1.0
4113|https://www.house.kg/details/758345766c89b4bb4e645-91797219|3-комн. кв., 86 м2|Бишкек|130000.0|6|10|элитка|евроремонт|монолитный|3 м.|86 м2||2018 г.|центральное|полностью меблирована|договор купли-продажи, технический паспорт||||от агента|42.8675|74.5785|Добавлено 28 дней назад|Поднято 4 часа назад|555.0|3.0
4114|https://www.house.kg/details/9321699669e57c7e19e73-15034465|2-комн. кв., 43 м2|Бишкек|62500.0|2|4|104 серия|среднее|панельный|3 м.|43 м2||1979 г.|центральное|пустая|||||от агента|42.8309|74.6062|Добавлено 2 месяца назад|Поднято 4 часа назад|1178.0|8.0
